timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
5314002,0,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
5377293,1,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
5440597,2,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
5503902,3,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
5567206,4,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,14
5630510,5,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
5693815,6,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
5757119,7,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
5820425,8,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
5883729,9,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
5947033,10,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6010339,11,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
6073642,12,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,16
6136947,13,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
6200251,14,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6263556,15,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,13
6326860,16,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
6390164,17,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
6453468,18,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
6516773,19,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
6580076,20,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
6643381,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,15
6706685,22,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
6769990,23,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,13
6833295,24,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
6896598,25,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
6959903,26,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,15
7023207,27,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
7086512,28,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
7149816,29,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
7213119,30,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,14
7276425,31,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
7339729,32,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
7403033,33,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
7466338,34,56,2,0,0,0,0,0,0,0,0,0,0,2626,16,15
