timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
6571002,0,56,2,0,0,0,0,0,0,0,0,0,0,2635,18,14
6634294,1,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,15
6697599,2,56,2,0,0,0,0,0,0,0,0,0,0,2636,17,16
6760904,3,56,2,0,0,0,0,0,0,0,0,0,0,2635,19,16
6824209,4,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,15
6887514,5,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,15
6950820,6,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,15
7014125,7,56,2,0,0,0,0,0,0,0,0,0,0,2636,18,14
7077429,8,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,15
7140734,9,56,2,0,0,0,0,0,0,0,0,0,0,2635,20,15
7204039,10,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,16
7267344,11,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,16
7330649,12,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,16
7393955,13,56,2,0,0,0,0,0,0,0,0,0,0,2638,20,16
7457260,14,56,2,0,0,0,0,0,0,0,0,0,0,2638,19,15
7520564,15,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,15
7583870,16,56,2,0,0,0,0,0,0,0,0,0,0,2636,19,16
7647174,17,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,15
7710480,18,56,2,0,0,0,0,0,0,0,0,0,0,2637,20,14
7773784,19,56,2,0,0,0,0,0,0,0,0,0,0,2636,20,15
7837089,20,56,2,0,0,0,0,0,0,0,0,0,0,2636,20,15
7900394,21,56,2,0,0,0,0,0,0,0,0,0,0,2635,19,15
7963697,22,56,2,0,0,0,0,0,0,0,0,0,0,2637,19,16
8027002,23,56,2,0,0,0,0,0,0,0,0,0,0,2635,19,14
8090306,24,56,2,0,0,0,0,0,0,0,0,0,0,2635,19,15
8153609,25,56,2,0,0,0,0,0,0,0,0,0,0,2635,20,15
