timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
6378002,0,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
6441294,1,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
6504597,2,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
6567902,3,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6631206,4,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,16
6694510,5,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,15
6757815,6,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
6821119,7,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,15
6884425,8,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
6947729,9,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
7011033,10,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
7074339,11,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
7137642,12,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
7200947,13,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
7264251,14,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
7327556,15,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,13
7390860,16,56,2,0,0,0,0,0,0,0,0,0,0,2623,17,17
7454164,17,56,2,0,0,0,0,0,0,0,0,0,0,2627,17,16
7517468,18,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
7580773,19,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
7644076,20,56,2,0,0,0,0,0,0,0,0,0,0,2626,16,17
7707381,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7770685,22,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7833990,23,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7897295,24,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
7960598,25,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
8023903,26,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
8087207,27,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,17
8150512,28,56,2,0,0,0,0,0,0,0,0,0,0,2627,21,15
8213816,29,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
8277119,30,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
8340425,31,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,13
8403729,32,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
8467033,33,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
8530338,34,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
8593642,35,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
8656947,36,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8720252,37,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
8783557,38,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
8846862,39,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
8910166,40,56,2,0,0,0,0,0,0,0,0,0,0,2622,19,17
8973471,41,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
9036775,42,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,17
9100079,43,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
9163384,44,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
9226688,45,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
9289993,46,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
9353297,47,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
9416601,48,56,2,0,0,0,0,0,0,0,0,0,0,2628,20,15
9479905,49,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
9543210,50,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
9606514,51,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
9669818,52,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
9733122,53,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
9796426,54,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
9859730,55,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
9923034,56,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
9986339,57,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
10049643,58,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
10112947,59,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
10176252,60,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
10239557,61,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
10302861,62,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,15
10366166,63,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
10429471,64,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
10492776,65,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
10556081,66,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
10619385,67,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
10682690,68,56,2,0,0,0,0,0,0,0,0,0,0,2627,17,14
10745994,69,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
10809299,70,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,16
10872603,71,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,16
10935908,72,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
10999213,73,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
11062517,74,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
11125821,75,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
11189124,76,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,15
11252429,77,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
11315732,78,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
11379037,79,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,17
11442341,80,56,2,0,0,0,0,0,0,0,0,0,0,2628,20,15
11505646,81,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
11568949,82,56,2,0,0,0,0,0,0,0,0,0,0,2627,17,17
11632252,83,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
11695557,84,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,15
11758861,85,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
11838137,86,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
11901430,87,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,16
11964735,88,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
12028038,89,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
12091343,90,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
12154648,91,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,17
12217952,92,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,17
12281256,93,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
12344560,94,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
12407865,95,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,15
12471169,96,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
12534473,97,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,14
12597779,98,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
12661083,99,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
12724387,100,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
12787692,101,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,16
12850997,102,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
12914301,103,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
12977606,104,56,2,0,0,0,0,0,0,0,0,0,0,2624,21,14
13040910,105,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
13104215,106,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,17
13167519,107,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,17
