timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
6373003,0,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,17
6436294,1,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
6499599,2,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,15
6562905,3,56,2,0,0,0,0,0,0,0,0,0,0,2623,17,14
6626208,4,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
6689514,5,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
6752819,6,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,13
6816124,7,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,13
6879429,8,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
6942733,9,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,16
7006038,10,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7069342,11,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,14
7132646,12,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
7195951,13,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
7259256,14,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
7322561,15,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
7385866,16,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
7449171,17,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
7512476,18,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,14
7575781,19,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
7639086,20,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7702391,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
7765696,22,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,15
7829001,23,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
7892306,24,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,14
7955611,25,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,13
8018916,26,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8082221,27,56,2,0,0,0,0,0,0,0,0,0,0,2623,17,14
8145526,28,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
8208831,29,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
8272136,30,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,14
8335442,31,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
8398747,32,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
8462053,33,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
8525357,34,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8588663,35,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,14
8651969,36,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
8715274,37,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8778578,38,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8841884,39,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8905190,40,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,15
8968494,41,56,2,0,0,0,0,0,0,0,0,0,0,2625,16,16
9031799,42,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
9095103,43,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
9158408,44,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,17
9221713,45,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
9285019,46,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,13
9348324,47,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
9411627,48,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,13
9474933,49,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
9538238,50,56,2,0,0,0,0,0,0,0,0,0,0,2625,16,15
9601544,51,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
9664849,52,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,14
9728154,53,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
9791459,54,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,14
9854764,55,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
9918068,56,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,13
9981374,57,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
10044679,58,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,15
10107984,59,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
10171290,60,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
10234596,61,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,14
10297901,62,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
10361206,63,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
10424511,64,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
10487816,65,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,17
10551121,66,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
10614426,67,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
10677731,68,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
10741037,69,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
10804342,70,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
10867646,71,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
10930951,72,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,15
10994256,73,56,2,0,0,0,0,0,0,0,0,0,0,2624,21,16
11057560,74,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
11120864,75,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,14
11184168,76,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
11247473,77,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
11310779,78,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
11374084,79,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,17
11437389,80,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,13
11500693,81,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
11563999,82,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
11627305,83,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
11690609,84,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
