timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
4939003,0,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,14
5002294,1,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
5065599,2,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,16
5128904,3,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
5192208,4,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
5255513,5,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
5318817,6,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
5382121,7,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
5445426,8,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
5508730,9,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
5572034,10,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
5635340,11,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,17
5698644,12,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,14
5761948,13,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
5825253,14,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
5888557,15,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
5951862,16,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
6015165,17,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
6078470,18,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,14
6141774,19,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
6205079,20,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6268384,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
6331688,22,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
6394993,23,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
6458298,24,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
6521601,25,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
6584905,26,56,2,0,0,0,0,0,0,0,0,0,0,2623,20,14
6648210,27,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6711514,28,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
6774819,29,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
6838123,30,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
6901428,31,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
6964732,32,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
7028036,33,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7091342,34,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
7154646,35,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
7217950,36,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
7281254,37,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
7344559,38,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
7407863,39,56,2,0,0,0,0,0,0,0,0,0,0,2623,17,14
7471167,40,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,17
7534471,41,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7597775,42,56,2,0,0,0,0,0,0,0,0,0,0,2624,16,14
7661079,43,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
7724384,44,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
7787688,45,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7850993,46,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,17
7914298,47,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,16
7977601,48,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,16
8040905,49,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
8104210,50,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
8167514,51,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
8230819,52,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8294123,53,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
8357428,54,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
8420732,55,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8484036,56,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8547341,57,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,16
8610646,58,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,15
8673950,59,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
8737254,60,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,15
8800559,61,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,14
8863863,62,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8927167,63,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
8990471,64,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
9053776,65,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
9117080,66,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,15
9180386,67,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,13
9243689,68,56,2,0,0,0,0,0,0,0,0,0,0,2623,18,15
9306994,69,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
9370298,70,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
9433602,71,56,2,0,0,0,0,0,0,0,0,0,0,2623,20,15
9496907,72,56,2,0,0,0,0,0,0,0,0,0,0,2624,18,14
9560211,73,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,16
9623515,74,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
9686819,75,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,16
9750123,76,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,14
9813428,77,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
9876731,78,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
9940035,79,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
10003339,80,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,14
