timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
6561002,0,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6624293,1,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
6687598,2,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,14
6750903,3,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
6814207,4,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
6877511,5,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
6940816,6,56,2,0,0,0,0,0,0,0,0,0,0,2627,21,14
7004120,7,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
7067426,8,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7130730,9,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
7194035,10,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,17
7257339,11,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7320643,12,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
7383947,13,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
7447251,14,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7510555,15,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,14
7573861,16,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
7637165,17,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7700469,18,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7763774,19,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,13
7827077,20,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
7890382,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
7953686,22,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8016991,23,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
8080295,24,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,17
8143599,25,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8206904,26,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
8270209,27,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,16
8333513,28,56,2,0,0,0,0,0,0,0,0,0,0,2626,21,15
8396817,29,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8460122,30,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
8523427,31,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
8586732,32,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,14
8650036,33,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,16
8713341,34,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8776645,35,56,2,0,0,0,0,0,0,0,0,0,0,2627,21,16
8839950,36,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,17
8903254,37,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
8966558,38,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
9029863,39,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
9093166,40,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
9156470,41,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
9219775,42,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,16
9283079,43,56,2,0,0,0,0,0,0,0,0,0,0,2623,20,14
9346383,44,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
9409687,45,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,17
9472991,46,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
9536296,47,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,16
