timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
6561002,0,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
6624294,1,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,15
6687598,2,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,14
6750903,3,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,14
6814207,4,56,2,0,0,0,0,0,0,0,0,0,0,2625,21,15
6877511,5,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
6940816,6,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
7004120,7,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,14
7067424,8,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,17
7130729,9,56,2,0,0,0,0,0,0,0,0,0,0,2626,17,14
7194034,10,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,16
7257339,11,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,16
7320642,12,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
7383947,13,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,16
7447251,14,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,16
7510555,15,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,15
7573860,16,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
7637164,17,56,2,0,0,0,0,0,0,0,0,0,0,2625,17,15
7700469,18,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,14
7763774,19,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,14
7827079,20,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7890384,21,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
7953688,22,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,14
8016992,23,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,16
8080296,24,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,16
8143600,25,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
8206905,26,56,2,0,0,0,0,0,0,0,0,0,0,2625,21,15
8270210,27,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,17
8333515,28,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8396820,29,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,17
8460123,30,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,15
8523428,31,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,17
8586732,32,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
8650037,33,56,2,0,0,0,0,0,0,0,0,0,0,2627,18,16
8713342,34,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,14
8776647,35,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
8839951,36,56,2,0,0,0,0,0,0,0,0,0,0,2626,18,17
8903256,37,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
8966560,38,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,16
9029863,39,56,2,0,0,0,0,0,0,0,0,0,0,2625,18,15
9093167,40,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,16
9156473,41,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,14
9219777,42,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,16
9283081,43,56,2,0,0,0,0,0,0,0,0,0,0,2626,20,15
9346387,44,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
9409691,45,56,2,0,0,0,0,0,0,0,0,0,0,2625,19,15
9472996,46,56,2,0,0,0,0,0,0,0,0,0,0,2624,19,17
9536301,47,56,2,0,0,0,0,0,0,0,0,0,0,2627,20,16
9599605,48,56,2,0,0,0,0,0,0,0,0,0,0,2627,19,14
9662910,49,56,2,0,0,0,0,0,0,0,0,0,0,2624,17,15
9726214,50,56,2,0,0,0,0,0,0,0,0,0,0,2623,19,15
9789519,51,56,2,0,0,0,0,0,0,0,0,0,0,2625,20,15
9852823,52,56,2,0,0,0,0,0,0,0,0,0,0,2626,19,15
9916128,53,56,2,0,0,0,0,0,0,0,0,0,0,2624,20,15
