timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3
5296002,0,0,2,0,0,0,0,0,0,0,0,0
5303995,1,0,2,0,0,0,0,0,0,0,0,0
5307639,2,0,2,0,0,0,0,0,0,0,0,0
5311283,3,0,2,0,0,0,0,0,0,0,0,0
5314927,4,0,2,0,0,0,0,0,0,0,0,0
5318571,5,0,2,0,0,0,0,0,0,0,0,0
5322215,6,0,2,0,0,0,0,0,0,0,0,0
5325859,7,0,2,0,0,0,0,0,0,0,0,0
5329503,8,0,2,0,0,0,0,0,0,0,0,0
5333147,9,0,2,0,0,0,0,0,0,0,0,0
5336791,10,0,2,0,0,0,0,0,0,0,0,0
5340435,11,0,2,0,0,0,0,0,0,0,0,0
5344079,12,0,2,0,0,0,0,0,0,0,0,0
5347723,13,0,2,0,0,0,0,0,0,0,0,0
5351367,14,0,2,0,0,0,0,0,0,0,0,0
5355011,15,0,2,0,0,0,0,0,0,0,0,0
5358655,16,0,2,0,0,0,0,0,0,0,0,0
5362299,17,0,2,0,0,0,0,0,0,0,0,0
5365943,18,0,2,0,0,0,0,0,0,0,0,0
5369587,19,0,2,0,0,0,0,0,0,0,0,0
5373231,20,0,2,0,0,0,0,0,0,0,0,0
5376876,21,0,2,0,0,0,0,0,0,0,0,0
5380519,22,0,2,0,0,0,0,0,0,0,0,0
5384163,23,0,2,0,0,0,0,0,0,0,0,0
5387807,24,0,2,0,0,0,0,0,0,0,0,0
5391451,25,0,2,0,0,0,0,0,0,0,0,0
5395095,26,0,2,0,0,0,0,0,0,0,0,0
5398739,27,0,2,0,0,0,0,0,0,0,0,0
5402383,28,0,2,0,0,0,0,0,0,0,0,0
5406027,29,0,2,0,0,0,0,0,0,0,0,0
5409671,30,0,2,0,0,0,0,0,0,0,0,0
5413316,31,0,2,0,0,0,0,0,0,0,0,0
5416959,32,0,2,0,0,0,0,0,0,0,0,0
5420603,33,0,2,0,0,0,0,0,0,0,0,0
5424247,34,0,2,0,0,0,0,0,0,0,0,0
5427891,35,0,2,0,0,0,0,0,0,0,0,0
5431535,36,0,2,0,0,0,0,0,0,0,0,0
5435179,37,0,2,0,0,0,0,0,0,0,0,0
5438823,38,0,2,0,0,0,0,0,0,0,0,0
5442467,39,0,2,0,0,0,0,0,0,0,0,0
5446111,40,0,2,0,0,0,0,0,0,0,0,0
5449755,41,0,2,0,0,0,0,0,0,0,0,0
5453399,42,0,2,0,0,0,0,0,0,0,0,0
5457043,43,0,2,0,0,0,0,0,0,0,0,0
5460687,44,0,2,0,0,0,0,0,0,0,0,0
5464331,45,0,2,0,0,0,0,0,0,0,0,0
5467975,46,0,2,0,0,0,0,0,0,0,0,0
5471619,47,0,2,0,0,0,0,0,0,0,0,0
5475263,48,0,2,0,0,0,0,0,0,0,0,0
5478907,49,0,2,0,0,0,0,0,0,0,0,0
5482551,50,0,2,0,0,0,0,0,0,0,0,0
5486196,51,0,2,0,0,0,0,0,0,0,0,0
5489839,52,0,2,0,0,0,0,0,0,0,0,0
5493483,53,0,2,0,0,0,0,0,0,0,0,0
5497127,54,0,2,0,0,0,0,0,0,0,0,0
5500771,55,0,2,0,0,0,0,0,0,0,0,0
5504415,56,0,2,0,0,0,0,0,0,0,0,0
5508059,57,0,2,0,0,0,0,0,0,0,0,0
5511703,58,0,2,0,0,0,0,0,0,0,0,0
5515347,59,0,2,0,0,0,0,0,0,0,0,0
5518991,60,0,2,0,0,0,0,0,0,0,0,0
5522635,61,0,2,0,0,0,0,0,0,0,0,0
5526279,62,0,2,0,0,0,0,0,0,0,0,0
