timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3
5304002,0,0,2,0,0,0,0,0,0,0,0,0
5311995,1,0,2,0,0,0,0,0,0,0,0,0
5315639,2,0,2,0,0,0,0,0,0,0,0,0
5319283,3,0,2,0,0,0,0,0,0,0,0,0
5322927,4,0,2,0,0,0,0,0,0,0,0,0
5326571,5,0,2,0,0,0,0,0,0,0,0,0
5330216,6,0,2,0,0,0,0,0,0,0,0,0
5333859,7,0,2,0,0,0,0,0,0,0,0,0
5337503,8,0,2,0,0,0,0,0,0,0,0,0
5341148,9,0,2,0,0,0,0,0,0,0,0,0
5344791,10,0,2,0,0,0,0,0,0,0,0,0
5348435,11,0,2,0,0,0,0,0,0,0,0,0
5352080,12,0,2,0,0,0,0,0,0,0,0,0
5355723,13,0,2,0,0,0,0,0,0,0,0,0
5359367,14,0,2,0,0,0,0,0,0,0,0,0
5363011,15,0,2,0,0,0,0,0,0,0,0,0
5366655,16,0,2,0,0,0,0,0,0,0,0,0
5370299,17,0,2,0,0,0,0,0,0,0,0,0
5373943,18,0,2,0,0,0,0,0,0,0,0,0
5377587,19,0,2,0,0,0,0,0,0,0,0,0
5381232,20,0,2,0,0,0,0,0,0,0,0,0
5384876,21,0,2,0,0,0,0,0,0,0,0,0
5388519,22,0,2,0,0,0,0,0,0,0,0,0
5392164,23,0,2,0,0,0,0,0,0,0,0,0
5395807,24,0,2,0,0,0,0,0,0,0,0,0
5399451,25,0,2,0,0,0,0,0,0,0,0,0
5403096,26,0,2,0,0,0,0,0,0,0,0,0
5406739,27,0,2,0,0,0,0,0,0,0,0,0
5410384,28,0,2,0,0,0,0,0,0,0,0,0
5414027,29,0,2,0,0,0,0,0,0,0,0,0
5417671,30,0,2,0,0,0,0,0,0,0,0,0
5421315,31,0,2,0,0,0,0,0,0,0,0,0
5424959,32,0,2,0,0,0,0,0,0,0,0,0
5428603,33,0,2,0,0,0,0,0,0,0,0,0
5432247,34,0,2,0,0,0,0,0,0,0,0,0
5435891,35,0,2,0,0,0,0,0,0,0,0,0
5439535,36,0,2,0,0,0,0,0,0,0,0,0
5443180,37,0,2,0,0,0,0,0,0,0,0,0
5446823,38,0,2,0,0,0,0,0,0,0,0,0
5450467,39,0,2,0,0,0,0,0,0,0,0,0
5454112,40,0,2,0,0,0,0,0,0,0,0,0
5457756,41,0,2,0,0,0,0,0,0,0,0,0
5461399,42,0,2,0,0,0,0,0,0,0,0,0
5465044,43,0,2,0,0,0,0,0,0,0,0,0
5468687,44,0,2,0,0,0,0,0,0,0,0,0
5472331,45,0,2,0,0,0,0,0,0,0,0,0
5475975,46,0,2,0,0,0,0,0,0,0,0,0
5479619,47,0,2,0,0,0,0,0,0,0,0,0
5483264,48,0,2,0,0,0,0,0,0,0,0,0
5486907,49,0,2,0,0,0,0,0,0,0,0,0
5490551,50,0,2,0,0,0,0,0,0,0,0,0
5494196,51,0,2,0,0,0,0,0,0,0,0,0
5497839,52,0,2,0,0,0,0,0,0,0,0,0
5501483,53,0,2,0,0,0,0,0,0,0,0,0
5505127,54,0,2,0,0,0,0,0,0,0,0,0
5508771,55,0,2,0,0,0,0,0,0,0,0,0
5512415,56,0,2,0,0,0,0,0,0,0,0,0
5516060,57,0,2,0,0,0,0,0,0,0,0,0
5519703,58,0,2,0,0,0,0,0,0,0,0,0
5523348,59,0,2,0,0,0,0,0,0,0,0,0
5526991,60,0,2,0,0,0,0,0,0,0,0,0
5530636,61,0,2,0,0,0,0,0,0,0,0,0
5534280,62,0,2,0,0,0,0,0,0,0,0,0
5537923,63,0,2,0,0,0,0,0,0,0,0,0
5541567,64,0,2,0,0,0,0,0,0,0,0,0
5545212,65,0,2,0,0,0,0,0,0,0,0,0
5548855,66,0,2,0,0,0,0,0,0,0,0,0
5552499,67,0,2,0,0,0,0,0,0,0,0,0
5556144,68,0,2,0,0,0,0,0,0,0,0,0
5559787,69,0,2,0,0,0,0,0,0,0,0,0
5563431,70,0,2,0,0,0,0,0,0,0,0,0
5567075,71,0,2,0,0,0,0,0,0,0,0,0
5570719,72,0,2,0,0,0,0,0,0,0,0,0
5574363,73,0,2,0,0,0,0,0,0,0,0,0
5578007,74,0,2,0,0,0,0,0,0,0,0,0
5581651,75,0,2,0,0,0,0,0,0,0,0,0
5585296,76,0,2,0,0,0,0,0,0,0,0,0
5588939,77,0,2,0,0,0,0,0,0,0,0,0
5592583,78,0,2,0,0,0,0,0,0,0,0,0
5596228,79,0,2,0,0,0,0,0,0,0,0,0
5599871,80,0,2,0,0,0,0,0,0,0,0,0
5603516,81,0,2,0,0,0,0,0,0,0,0,0
5607159,82,0,2,0,0,0,0,0,0,0,0,0
5610803,83,0,2,0,0,0,0,0,0,0,0,0
5614447,84,0,2,0,0,0,0,0,0,0,0,0
5618091,85,0,2,0,0,0,0,0,0,0,0,0
5621735,86,0,2,0,0,0,0,0,0,0,0,0
5625379,87,0,2,0,0,0,0,0,0,0,0,0
5629024,88,0,2,0,0,0,0,0,0,0,0,0
5632667,89,0,2,0,0,0,0,0,0,0,0,0
5636311,90,0,2,0,0,0,0,0,0,0,0,0
5639956,91,0,2,0,0,0,0,0,0,0,0,0
5643599,92,0,2,0,0,0,0,0,0,0,0,0
5647244,93,0,2,0,0,0,0,0,0,0,0,0
5650887,94,0,2,0,0,0,0,0,0,0,0,0
5654531,95,0,2,0,0,0,0,0,0,0,0,0
5658175,96,0,2,0,0,0,0,0,0,0,0,0
5661819,97,0,2,0,0,0,0,0,0,0,0,0
5665463,98,0,2,0,0,0,0,0,0,0,0,0
5669107,99,0,2,0,0,0,0,0,0,0,0,0
5672751,100,0,2,0,0,0,0,0,0,0,0,0
5676396,101,0,2,0,0,0,0,0,0,0,0,0
5680040,102,0,2,0,0,0,0,0,0,0,0,0
5683683,103,0,2,0,0,0,0,0,0,0,0,0
5687327,104,0,2,0,0,0,0,0,0,0,0,0
5690971,105,0,2,0,0,0,0,0,0,0,0,0
5694615,106,0,2,0,0,0,0,0,0,0,0,0
5698259,107,0,2,0,0,0,0,0,0,0,0,0
5701903,108,0,2,0,0,0,0,0,0,0,0,0
5705547,109,0,2,0,0,0,0,0,0,0,0,0
5709192,110,0,2,0,0,0,0,0,0,0,0,0
5712836,111,0,2,0,0,0,0,0,0,0,0,0
5716479,112,0,2,0,0,0,0,0,0,0,0,0
5720123,113,0,2,0,0,0,0,0,0,0,0,0
5723767,114,0,2,0,0,0,0,0,0,0,0,0
5727411,115,0,2,0,0,0,0,0,0,0,0,0
5731055,116,0,2,0,0,0,0,0,0,0,0,0
5734699,117,0,2,0,0,0,0,0,0,0,0,0
5738343,118,0,2,0,0,0,0,0,0,0,0,0
5741987,119,0,2,0,0,0,0,0,0,0,0,0
5745631,120,0,2,0,0,0,0,0,0,0,0,0
5749276,121,0,2,0,0,0,0,0,0,0,0,0
5752919,122,0,2,0,0,0,0,0,0,0,0,0
5756563,123,0,2,0,0,0,0,0,0,0,0,0
5760208,124,0,2,0,0,0,0,0,0,0,0,0
5763851,125,0,2,0,0,0,0,0,0,0,0,0
5767495,126,0,2,0,0,0,0,0,0,0,0,0
5771140,127,0,2,0,0,0,0,0,0,0,0,0
5774783,128,0,2,0,0,0,0,0,0,0,0,0
5778427,129,0,2,0,0,0,0,0,0,0,0,0
5782072,130,0,2,0,0,0,0,0,0,0,0,0
5785716,131,0,2,0,0,0,0,0,0,0,0,0
5789359,132,0,2,0,0,0,0,0,0,0,0,0
5793003,133,0,2,0,0,0,0,0,0,0,0,0
5796647,134,0,2,0,0,0,0,0,0,0,0,0
5800292,135,0,2,0,0,0,0,0,0,0,0,0
5803935,136,0,2,0,0,0,0,0,0,0,0,0
5807579,137,0,2,0,0,0,0,0,0,0,0,0
5811224,138,0,2,0,0,0,0,0,0,0,0,0
5814867,139,0,2,0,0,0,0,0,0,0,0,0
5818511,140,0,2,0,0,0,0,0,0,0,0,0
5822155,141,0,2,0,0,0,0,0,0,0,0,0
5825799,142,0,2,0,0,0,0,0,0,0,0,0
5829443,143,0,2,0,0,0,0,0,0,0,0,0
5833087,144,0,2,0,0,0,0,0,0,0,0,0
5836731,145,0,2,0,0,0,0,0,0,0,0,0
5840375,146,0,2,0,0,0,0,0,0,0,0,0
5844020,147,0,2,0,0,0,0,0,0,0,0,0
5847663,148,0,2,0,0,0,0,0,0,0,0,0
5851307,149,0,2,0,0,0,0,0,0,0,0,0
5854951,150,0,2,0,0,0,0,0,0,0,0,0
5858596,151,0,2,0,0,0,0,0,0,0,0,0
5862239,152,0,2,0,0,0,0,0,0,0,0,0
5865883,153,0,2,0,0,0,0,0,0,0,0,0
5869527,154,0,2,0,0,0,0,0,0,0,0,0
5873172,155,0,2,0,0,0,0,0,0,0,0,0
5876815,156,0,2,0,0,0,0,0,0,0,0,0
5880459,157,0,2,0,0,0,0,0,0,0,0,0
5884104,158,0,2,0,0,0,0,0,0,0,0,0
5887747,159,0,2,0,0,0,0,0,0,0,0,0
5891391,160,0,2,0,0,0,0,0,0,0,0,0
5895036,161,0,2,0,0,0,0,0,0,0,0,0
5898679,162,0,2,0,0,0,0,0,0,0,0,0
5902324,163,0,2,0,0,0,0,0,0,0,0,0
5905967,164,0,2,0,0,0,0,0,0,0,0,0
5909611,165,0,2,0,0,0,0,0,0,0,0,0
5913256,166,0,2,0,0,0,0,0,0,0,0,0
5916899,167,0,2,0,0,0,0,0,0,0,0,0
5920543,168,0,2,0,0,0,0,0,0,0,0,0
