timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3
10920002,0,0,2,0,0,0,0,0,0,0,0,0
11135001,1,0,2,0,0,0,0,0,0,0,0,0
11145413,2,0,2,0,0,0,0,0,0,0,0,0
11155838,3,0,2,0,0,0,0,0,0,0,0,0
11166261,4,0,2,0,0,0,0,0,0,0,0,0
11176685,5,0,2,0,0,0,0,0,0,0,0,0
11187109,6,0,2,0,0,0,0,0,0,0,0,0
11197533,7,0,2,0,0,0,0,0,0,0,0,0
11207957,8,0,2,0,0,0,0,0,0,0,0,0
11218381,9,0,2,0,0,0,0,0,0,0,0,0
11228805,10,0,2,0,0,0,0,0,0,0,0,0
11440001,11,0,2,0,0,0,0,0,0,0,0,0
11450413,12,0,2,0,0,0,0,0,0,0,0,0
11460838,13,0,2,0,0,0,0,0,0,0,0,0
11471261,14,0,2,0,0,0,0,0,0,0,0,0
11481685,15,0,2,0,0,0,0,0,0,0,0,0
11492109,16,0,2,0,0,0,0,0,0,0,0,0
11502533,17,0,2,0,0,0,0,0,0,0,0,0
11512957,18,0,2,0,0,0,0,0,0,0,0,0
11523381,19,0,2,0,0,0,0,0,0,0,0,0
11533805,20,0,2,0,0,0,0,0,0,0,0,0
11745001,21,0,2,0,0,0,0,0,0,0,0,0
11755413,22,0,2,0,0,0,0,0,0,0,0,0
11765838,23,0,2,0,0,0,0,0,0,0,0,0
11776262,24,0,2,0,0,0,0,0,0,0,0,0
11786685,25,0,2,0,0,0,0,0,0,0,0,0
11797109,26,0,2,0,0,0,0,0,0,0,0,0
11807533,27,0,2,0,0,0,0,0,0,0,0,0
11817957,28,0,2,0,0,0,0,0,0,0,0,0
11828381,29,0,2,0,0,0,0,0,0,0,0,0
11838805,30,0,2,0,0,0,0,0,0,0,0,0
12050001,31,0,2,0,0,0,0,0,0,0,0,0
12060413,32,0,2,0,0,0,0,0,0,0,0,0
12070838,33,0,2,0,0,0,0,0,0,0,0,0
12081262,34,0,2,0,0,0,0,0,0,0,0,0
12091685,35,0,2,0,0,0,0,0,0,0,0,0
12102109,36,0,2,0,0,0,0,0,0,0,0,0
12112533,37,0,2,0,0,0,0,0,0,0,0,0
12122957,38,0,2,0,0,0,0,0,0,0,0,0
12133381,39,0,2,0,0,0,0,0,0,0,0,0
12143805,40,0,2,0,0,0,0,0,0,0,0,0
12355001,41,0,2,0,0,0,0,0,0,0,0,0
12365413,42,0,2,0,0,0,0,0,0,0,0,0
12375838,43,0,2,0,0,0,0,0,0,0,0,0
12386262,44,0,2,0,0,0,0,0,0,0,0,0
12396685,45,0,2,0,0,0,0,0,0,0,0,0
12407109,46,0,2,0,0,0,0,0,0,0,0,0
12417533,47,0,2,0,0,0,0,0,0,0,0,0
12427957,48,0,2,0,0,0,0,0,0,0,0,0
12438381,49,0,2,0,0,0,0,0,0,0,0,0
12448805,50,0,2,0,0,0,0,0,0,0,0,0
12660001,51,0,2,0,0,0,0,0,0,0,0,0
12670413,52,0,2,0,0,0,0,0,0,0,0,0
12680838,53,0,2,0,0,0,0,0,0,0,0,0
12691262,54,0,2,0,0,0,0,0,0,0,0,0
12701685,55,0,2,0,0,0,0,0,0,0,0,0
12712109,56,0,2,0,0,0,0,0,0,0,0,0
12722533,57,0,2,0,0,0,0,0,0,0,0,0
12732957,58,0,2,0,0,0,0,0,0,0,0,0
12743381,59,0,2,0,0,0,0,0,0,0,0,0
12753805,60,0,2,0,0,0,0,0,0,0,0,0
12965002,61,0,2,0,0,0,0,0,0,0,0,0
12975413,62,0,2,0,0,0,0,0,0,0,0,0
12985838,63,0,2,0,0,0,0,0,0,0,0,0
12996262,64,0,2,0,0,0,0,0,0,0,0,0
13006685,65,0,2,0,0,0,0,0,0,0,0,0
13017109,66,0,2,0,0,0,0,0,0,0,0,0
13027533,67,0,2,0,0,0,0,0,0,0,0,0
13037957,68,0,2,0,0,0,0,0,0,0,0,0
13048381,69,0,2,0,0,0,0,0,0,0,0,0
13058805,70,0,2,0,0,0,0,0,0,0,0,0
13270001,71,0,2,0,0,0,0,0,0,0,0,0
13280413,72,0,2,0,0,0,0,0,0,0,0,0
13290837,73,0,2,0,0,0,0,0,0,0,0,0
13301262,74,0,2,0,0,0,0,0,0,0,0,0
