timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3
10743002,0,0,2,0,0,0,0,0,0,0,0,0
10952001,1,0,2,0,0,0,0,0,0,0,0,0
10955633,2,0,2,0,0,0,0,0,0,0,0,0
10959277,3,0,2,0,0,0,0,0,0,0,0,0
10962921,4,0,2,0,0,0,0,0,0,0,0,0
10966566,5,0,2,0,0,0,0,0,0,0,0,0
10970209,6,0,2,0,0,0,0,0,0,0,0,0
10973853,7,0,2,0,0,0,0,0,0,0,0,0
10977497,8,0,2,0,0,0,0,0,0,0,0,0
10981142,9,0,2,0,0,0,0,0,0,0,0,0
10984785,10,0,2,0,0,0,0,0,0,0,0,0
11189003,11,0,2,0,0,0,0,0,0,0,0,0
11192635,12,0,2,0,0,0,0,0,0,0,0,0
11196279,13,0,2,0,0,0,0,0,0,0,0,0
11199923,14,0,2,0,0,0,0,0,0,0,0,0
11203567,15,0,2,0,0,0,0,0,0,0,0,0
11207211,16,0,2,0,0,0,0,0,0,0,0,0
11210855,17,0,2,0,0,0,0,0,0,0,0,0
11214499,18,0,2,0,0,0,0,0,0,0,0,0
11218143,19,0,2,0,0,0,0,0,0,0,0,0
11221787,20,0,2,0,0,0,0,0,0,0,0,0
11225432,21,0,2,0,0,0,0,0,0,0,0,0
11229075,22,0,2,0,0,0,0,0,0,0,0,0
11232719,23,0,2,0,0,0,0,0,0,0,0,0
11236363,24,0,2,0,0,0,0,0,0,0,0,0
11240007,25,0,2,0,0,0,0,0,0,0,0,0
11243651,26,0,2,0,0,0,0,0,0,0,0,0
11247295,27,0,2,0,0,0,0,0,0,0,0,0
11250939,28,0,2,0,0,0,0,0,0,0,0,0
11254583,29,0,2,0,0,0,0,0,0,0,0,0
11258227,30,0,2,0,0,0,0,0,0,0,0,0
11261871,31,0,2,0,0,0,0,0,0,0,0,0
11265515,32,0,2,0,0,0,0,0,0,0,0,0
11269159,33,0,2,0,0,0,0,0,0,0,0,0
11272803,34,0,2,0,0,0,0,0,0,0,0,0
11276447,35,0,2,0,0,0,0,0,0,0,0,0
11280091,36,0,2,0,0,0,0,0,0,0,0,0
11283735,37,0,2,0,0,0,0,0,0,0,0,0
11287379,38,0,2,0,0,0,0,0,0,0,0,0
11291023,39,0,2,0,0,0,0,0,0,0,0,0
11294667,40,0,2,0,0,0,0,0,0,0,0,0
11298312,41,0,2,0,0,0,0,0,0,0,0,0
11301955,42,0,2,0,0,0,0,0,0,0,0,0
11305599,43,0,2,0,0,0,0,0,0,0,0,0
11309243,44,0,2,0,0,0,0,0,0,0,0,0
11312887,45,0,2,0,0,0,0,0,0,0,0,0
11316531,46,0,2,0,0,0,0,0,0,0,0,0
11320175,47,0,2,0,0,0,0,0,0,0,0,0
11323819,48,0,2,0,0,0,0,0,0,0,0,0
11327463,49,0,2,0,0,0,0,0,0,0,0,0
11331107,50,0,2,0,0,0,0,0,0,0,0,0
11334752,51,0,2,0,0,0,0,0,0,0,0,0
11338395,52,0,2,0,0,0,0,0,0,0,0,0
11342039,53,0,2,0,0,0,0,0,0,0,0,0
11345683,54,0,2,0,0,0,0,0,0,0,0,0
11349327,55,0,2,0,0,0,0,0,0,0,0,0
11352971,56,0,2,0,0,0,0,0,0,0,0,0
11356615,57,0,2,0,0,0,0,0,0,0,0,0
11360259,58,0,2,0,0,0,0,0,0,0,0,0
11363903,59,0,2,0,0,0,0,0,0,0,0,0
11367547,60,0,2,0,0,0,0,0,0,0,0,0
11371192,61,0,2,0,0,0,0,0,0,0,0,0
11374835,62,0,2,0,0,0,0,0,0,0,0,0
11378479,63,0,2,0,0,0,0,0,0,0,0,0
11382123,64,0,2,0,0,0,0,0,0,0,0,0
11385767,65,0,2,0,0,0,0,0,0,0,0,0
11389411,66,0,2,0,0,0,0,0,0,0,0,0
11393055,67,0,2,0,0,0,0,0,0,0,0,0
11396699,68,0,2,0,0,0,0,0,0,0,0,0
11400343,69,0,2,0,0,0,0,0,0,0,0,0
11403987,70,0,2,0,0,0,0,0,0,0,0,0
11407631,71,0,2,0,0,0,0,0,0,0,0,0
11411275,72,0,2,0,0,0,0,0,0,0,0,0
11414919,73,0,2,0,0,0,0,0,0,0,0,0
11418563,74,0,2,0,0,0,0,0,0,0,0,0
11422207,75,0,2,0,0,0,0,0,0,0,0,0
11425851,76,0,2,0,0,0,0,0,0,0,0,0
11429495,77,0,2,0,0,0,0,0,0,0,0,0
11433139,78,0,2,0,0,0,0,0,0,0,0,0
11436783,79,0,2,0,0,0,0,0,0,0,0,0
11440427,80,0,2,0,0,0,0,0,0,0,0,0
11444072,81,0,2,0,0,0,0,0,0,0,0,0
11447715,82,0,2,0,0,0,0,0,0,0,0,0
11451359,83,0,2,0,0,0,0,0,0,0,0,0
11455003,84,0,2,0,0,0,0,0,0,0,0,0
11458647,85,0,2,0,0,0,0,0,0,0,0,0
11462291,86,0,2,0,0,0,0,0,0,0,0,0
11465935,87,0,2,0,0,0,0,0,0,0,0,0
11469579,88,0,2,0,0,0,0,0,0,0,0,0
11473223,89,0,2,0,0,0,0,0,0,0,0,0
11476867,90,0,2,0,0,0,0,0,0,0,0,0
11480511,91,0,2,0,0,0,0,0,0,0,0,0
11484155,92,0,2,0,0,0,0,0,0,0,0,0
11487799,93,0,2,0,0,0,0,0,0,0,0,0
11491443,94,0,2,0,0,0,0,0,0,0,0,0
11495087,95,0,2,0,0,0,0,0,0,0,0,0
11498731,96,0,2,0,0,0,0,0,0,0,0,0
11502375,97,0,2,0,0,0,0,0,0,0,0,0
11506019,98,0,2,0,0,0,0,0,0,0,0,0
11509663,99,0,2,0,0,0,0,0,0,0,0,0
11513307,100,0,2,0,0,0,0,0,0,0,0,0
11516951,101,0,2,0,0,0,0,0,0,0,0,0
11520595,102,0,2,0,0,0,0,0,0,0,0,0
11524239,103,0,2,0,0,0,0,0,0,0,0,0
11527883,104,0,2,0,0,0,0,0,0,0,0,0
11531527,105,0,2,0,0,0,0,0,0,0,0,0
11535171,106,0,2,0,0,0,0,0,0,0,0,0
11538815,107,0,2,0,0,0,0,0,0,0,0,0
11542459,108,0,2,0,0,0,0,0,0,0,0,0
11546103,109,0,2,0,0,0,0,0,0,0,0,0
11549747,110,0,2,0,0,0,0,0,0,0,0,0
11553391,111,0,2,0,0,0,0,0,0,0,0,0
11557035,112,0,2,0,0,0,0,0,0,0,0,0
11560679,113,0,2,0,0,0,0,0,0,0,0,0
11564323,114,0,2,0,0,0,0,0,0,0,0,0
11567967,115,0,2,0,0,0,0,0,0,0,0,0
11600000,116,0,2,0,0,0,0,0,0,0,0,0
11700000,117,0,2,0,0,0,0,0,0,0,0,0
11800000,118,0,2,0,0,0,0,0,0,0,0,0
11900000,119,0,2,0,0,0,0,0,0,0,0,0
12000000,120,0,2,0,0,0,0,0,0,0,0,0
12100000,121,0,2,0,0,0,0,0,0,0,0,0
12200000,122,0,2,0,0,0,0,0,0,0,0,0
12300000,123,0,2,0,0,0,0,0,0,0,0,0
12400000,124,0,2,0,0,0,0,0,0,0,0,0
12500000,125,0,2,0,0,0,0,0,0,0,0,0
12600000,126,0,2,0,0,0,0,0,0,0,0,0
12700000,127,0,2,0,0,0,0,0,0,0,0,0
12800000,128,0,2,0,0,0,0,0,0,0,0,0
12900000,129,0,2,0,0,0,0,0,0,0,0,0
13000000,130,0,2,0,0,0,0,0,0,0,0,0
13100000,131,0,2,0,0,0,0,0,0,0,0,0
13200000,132,0,2,0,0,0,0,0,0,0,0,0
13300000,133,0,2,0,0,0,0,0,0,0,0,0
13400000,134,0,2,0,0,0,0,0,0,0,0,0
13500000,135,0,2,0,0,0,0,0,0,0,0,0
13600000,136,0,2,0,0,0,0,0,0,0,0,0
13700000,137,0,2,0,0,0,0,0,0,0,0,0
13800000,138,0,2,0,0,0,0,0,0,0,0,0
13900000,139,0,2,0,0,0,0,0,0,0,0,0
14000000,140,0,2,0,0,0,0,0,0,0,0,0
