timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3
10742002,0,0,2,0,0,0,0,0,0,0,0,0
11071001,1,0,2,0,0,0,0,0,0,0,0,0
11074634,2,0,2,0,0,0,0,0,0,0,0,0
11078277,3,0,2,0,0,0,0,0,0,0,0,0
11081921,4,0,2,0,0,0,0,0,0,0,0,0
11085565,5,0,2,0,0,0,0,0,0,0,0,0
11089209,6,0,2,0,0,0,0,0,0,0,0,0
11092853,7,0,2,0,0,0,0,0,0,0,0,0
11096497,8,0,2,0,0,0,0,0,0,0,0,0
11100141,9,0,2,0,0,0,0,0,0,0,0,0
11103786,10,0,2,0,0,0,0,0,0,0,0,0
11308004,11,0,2,0,0,0,0,0,0,0,0,0
11311637,12,0,2,0,0,0,0,0,0,0,0,0
11315280,13,0,2,0,0,0,0,0,0,0,0,0
11318924,14,0,2,0,0,0,0,0,0,0,0,0
11322568,15,0,2,0,0,0,0,0,0,0,0,0
11326212,16,0,2,0,0,0,0,0,0,0,0,0
11329856,17,0,2,0,0,0,0,0,0,0,0,0
11333500,18,0,2,0,0,0,0,0,0,0,0,0
11337144,19,0,2,0,0,0,0,0,0,0,0,0
11340788,20,0,2,0,0,0,0,0,0,0,0,0
11344432,21,0,2,0,0,0,0,0,0,0,0,0
11348076,22,0,2,0,0,0,0,0,0,0,0,0
11351720,23,0,2,0,0,0,0,0,0,0,0,0
11355364,24,0,2,0,0,0,0,0,0,0,0,0
11359008,25,0,2,0,0,0,0,0,0,0,0,0
11362652,26,0,2,0,0,0,0,0,0,0,0,0
11366296,27,0,2,0,0,0,0,0,0,0,0,0
11369940,28,0,2,0,0,0,0,0,0,0,0,0
11373584,29,0,2,0,0,0,0,0,0,0,0,0
11377228,30,0,2,0,0,0,0,0,0,0,0,0
11380872,31,0,2,0,0,0,0,0,0,0,0,0
11384516,32,0,2,0,0,0,0,0,0,0,0,0
11388160,33,0,2,0,0,0,0,0,0,0,0,0
11391804,34,0,2,0,0,0,0,0,0,0,0,0
11395448,35,0,2,0,0,0,0,0,0,0,0,0
11399092,36,0,2,0,0,0,0,0,0,0,0,0
11402736,37,0,2,0,0,0,0,0,0,0,0,0
11406380,38,0,2,0,0,0,0,0,0,0,0,0
11410024,39,0,2,0,0,0,0,0,0,0,0,0
11413668,40,0,2,0,0,0,0,0,0,0,0,0
11417313,41,0,2,0,0,0,0,0,0,0,0,0
11420956,42,0,2,0,0,0,0,0,0,0,0,0
11424601,43,0,2,0,0,0,0,0,0,0,0,0
11428244,44,0,2,0,0,0,0,0,0,0,0,0
11431888,45,0,2,0,0,0,0,0,0,0,0,0
11435532,46,0,2,0,0,0,0,0,0,0,0,0
11439176,47,0,2,0,0,0,0,0,0,0,0,0
11442820,48,0,2,0,0,0,0,0,0,0,0,0
11446464,49,0,2,0,0,0,0,0,0,0,0,0
11450108,50,0,2,0,0,0,0,0,0,0,0,0
11453753,51,0,2,0,0,0,0,0,0,0,0,0
11457396,52,0,2,0,0,0,0,0,0,0,0,0
11461041,53,0,2,0,0,0,0,0,0,0,0,0
11464684,54,0,2,0,0,0,0,0,0,0,0,0
11468328,55,0,2,0,0,0,0,0,0,0,0,0
11471972,56,0,2,0,0,0,0,0,0,0,0,0
11475616,57,0,2,0,0,0,0,0,0,0,0,0
11479260,58,0,2,0,0,0,0,0,0,0,0,0
11482904,59,0,2,0,0,0,0,0,0,0,0,0
11486548,60,0,2,0,0,0,0,0,0,0,0,0
11490193,61,0,2,0,0,0,0,0,0,0,0,0
11493836,62,0,2,0,0,0,0,0,0,0,0,0
11497480,63,0,2,0,0,0,0,0,0,0,0,0
11501124,64,0,2,0,0,0,0,0,0,0,0,0
11504768,65,0,2,0,0,0,0,0,0,0,0,0
11508412,66,0,2,0,0,0,0,0,0,0,0,0
11512056,67,0,2,0,0,0,0,0,0,0,0,0
11515700,68,0,2,0,0,0,0,0,0,0,0,0
11519344,69,0,2,0,0,0,0,0,0,0,0,0
11522988,70,0,2,0,0,0,0,0,0,0,0,0
11526632,71,0,2,0,0,0,0,0,0,0,0,0
11530276,72,0,2,0,0,0,0,0,0,0,0,0
11533920,73,0,2,0,0,0,0,0,0,0,0,0
11537565,74,0,2,0,0,0,0,0,0,0,0,0
11541208,75,0,2,0,0,0,0,0,0,0,0,0
11544852,76,0,2,0,0,0,0,0,0,0,0,0
11548496,77,0,2,0,0,0,0,0,0,0,0,0
11552140,78,0,2,0,0,0,0,0,0,0,0,0
11555785,79,0,2,0,0,0,0,0,0,0,0,0
11559428,80,0,2,0,0,0,0,0,0,0,0,0
11563073,81,0,2,0,0,0,0,0,0,0,0,0
11566716,82,0,2,0,0,0,0,0,0,0,0,0
11570360,83,0,2,0,0,0,0,0,0,0,0,0
11574004,84,0,2,0,0,0,0,0,0,0,0,0
11577648,85,0,2,0,0,0,0,0,0,0,0,0
11581292,86,0,2,0,0,0,0,0,0,0,0,0
11584936,87,0,2,0,0,0,0,0,0,0,0,0
11588580,88,0,2,0,0,0,0,0,0,0,0,0
11592224,89,0,2,0,0,0,0,0,0,0,0,0
11595868,90,0,2,0,0,0,0,0,0,0,0,0
11599513,91,0,2,0,0,0,0,0,0,0,0,0
11603156,92,0,2,0,0,0,0,0,0,0,0,0
11606800,93,0,2,0,0,0,0,0,0,0,0,0
11610444,94,0,2,0,0,0,0,0,0,0,0,0
11614088,95,0,2,0,0,0,0,0,0,0,0,0
11617732,96,0,2,0,0,0,0,0,0,0,0,0
11621376,97,0,2,0,0,0,0,0,0,0,0,0
11625020,98,0,2,0,0,0,0,0,0,0,0,0
11628664,99,0,2,0,0,0,0,0,0,0,0,0
11632308,100,0,2,0,0,0,0,0,0,0,0,0
11635952,101,0,2,0,0,0,0,0,0,0,0,0
11639596,102,0,2,0,0,0,0,0,0,0,0,0
11643240,103,0,2,0,0,0,0,0,0,0,0,0
11646884,104,0,2,0,0,0,0,0,0,0,0,0
11650528,105,0,2,0,0,0,0,0,0,0,0,0
11654172,106,0,2,0,0,0,0,0,0,0,0,0
11657816,107,0,2,0,0,0,0,0,0,0,0,0
11661460,108,0,2,0,0,0,0,0,0,0,0,0
11665104,109,0,2,0,0,0,0,0,0,0,0,0
11668748,110,0,2,0,0,0,0,0,0,0,0,0
11672392,111,0,2,0,0,0,0,0,0,0,0,0
11676036,112,0,2,0,0,0,0,0,0,0,0,0
11679680,113,0,2,0,0,0,0,0,0,0,0,0
11683324,114,0,2,0,0,0,0,0,0,0,0,0
11686968,115,0,2,0,0,0,0,0,0,0,0,0
11690612,116,0,2,0,0,0,0,0,0,0,0,0
11700000,117,0,2,0,0,0,0,0,0,0,0,0
11800000,118,0,2,0,0,0,0,0,0,0,0,0
11900000,119,0,2,0,0,0,0,0,0,0,0,0
12000000,120,0,2,0,0,0,0,0,0,0,0,0
12100000,121,0,2,0,0,0,0,0,0,0,0,0
12200000,122,0,2,0,0,0,0,0,0,0,0,0
12300000,123,0,2,0,0,0,0,0,0,0,0,0
12400000,124,0,2,0,0,0,0,0,0,0,0,0
12500000,125,0,2,0,0,0,0,0,0,0,0,0
12600000,126,0,2,0,0,0,0,0,0,0,0,0
12700000,127,0,2,0,0,0,0,0,0,0,0,0
12800000,128,0,2,0,0,0,0,0,0,0,0,0
12900000,129,0,2,0,0,0,0,0,0,0,0,0
13000000,130,0,2,0,0,0,0,0,0,0,0,0
13100000,131,0,2,0,0,0,0,0,0,0,0,0
13200000,132,0,2,0,0,0,0,0,0,0,0,0
13300000,133,0,2,0,0,0,0,0,0,0,0,0
13400000,134,0,2,0,0,0,0,0,0,0,0,0
13500000,135,0,2,0,0,0,0,0,0,0,0,0
13600000,136,0,2,0,0,0,0,0,0,0,0,0
13700000,137,0,2,0,0,0,0,0,0,0,0,0
13800000,138,0,2,0,0,0,0,0,0,0,0,0
13900000,139,0,2,0,0,0,0,0,0,0,0,0
14000000,140,0,2,0,0,0,0,0,0,0,0,0
14100000,141,0,2,0,0,0,0,0,0,0,0,0
14200000,142,0,2,0,0,0,0,0,0,0,0,0
14300000,143,0,2,0,0,0,0,0,0,0,0,0
14400000,144,0,2,0,0,0,0,0,0,0,0,0
14500000,145,0,2,0,0,0,0,0,0,0,0,0
14600000,146,0,2,0,0,0,0,0,0,0,0,0
14700000,147,0,2,0,0,0,0,0,0,0,0,0
14800000,148,0,2,0,0,0,0,0,0,0,0,0
14900000,149,0,2,0,0,0,0,0,0,0,0,0
15000000,150,0,2,0,0,0,0,0,0,0,0,0
15100000,151,0,2,0,0,0,0,0,0,0,0,0
15200000,152,0,2,0,0,0,0,0,0,0,0,0
15300000,153,0,2,0,0,0,0,0,0,0,0,0
15400000,154,0,2,0,0,0,0,0,0,0,0,0
15500000,155,0,2,0,0,0,0,0,0,0,0,0
15600000,156,0,2,0,0,0,0,0,0,0,0,0
15700000,157,0,2,0,0,0,0,0,0,0,0,0
15800000,158,0,2,0,0,0,0,0,0,0,0,0
15900000,159,0,2,0,0,0,0,0,0,0,0,0
16000000,160,0,2,0,0,0,0,0,0,0,0,0
16100000,161,0,2,0,0,0,0,0,0,0,0,0
16200000,162,0,2,0,0,0,0,0,0,0,0,0
16300000,163,0,2,0,0,0,0,0,0,0,0,0
16509001,164,0,2,0,0,0,0,0,0,0,0,0
16713004,165,0,2,0,0,0,0,0,0,0,0,0
16716636,166,0,2,0,0,0,0,0,0,0,0,0
16720280,167,0,2,0,0,0,0,0,0,0,0,0
16800000,168,0,2,0,0,0,0,0,0,0,0,0
16900000,169,0,2,0,0,0,0,0,0,0,0,0
17000000,170,0,2,0,0,0,0,0,0,0,0,0
17100000,171,0,2,0,0,0,0,0,0,0,0,0
17200000,172,0,2,0,0,0,0,0,0,0,0,0
17300000,173,0,2,0,0,0,0,0,0,0,0,0
17400000,174,0,2,0,0,0,0,0,0,0,0,0
17500000,175,0,2,0,0,0,0,0,0,0,0,0
17600000,176,0,2,0,0,0,0,0,0,0,0,0
17700000,177,0,2,0,0,0,0,0,0,0,0,0
17800000,178,0,2,0,0,0,0,0,0,0,0,0
17900000,179,0,2,0,0,0,0,0,0,0,0,0
18000000,180,0,2,0,0,0,0,0,0,0,0,0
18100000,181,0,2,0,0,0,0,0,0,0,0,0
18200000,182,0,2,0,0,0,0,0,0,0,0,0
18300000,183,0,2,0,0,0,0,0,0,0,0,0
18400000,184,0,2,0,0,0,0,0,0,0,0,0
18500000,185,0,2,0,0,0,0,0,0,0,0,0
18600000,186,0,2,0,0,0,0,0,0,0,0,0
18700000,187,0,2,0,0,0,0,0,0,0,0,0
18800000,188,0,2,0,0,0,0,0,0,0,0,0
18900000,189,0,2,0,0,0,0,0,0,0,0,0
19000000,190,0,2,0,0,0,0,0,0,0,0,0
19100000,191,0,2,0,0,0,0,0,0,0,0,0
19200000,192,0,2,0,0,0,0,0,0,0,0,0
19300000,193,0,2,0,0,0,0,0,0,0,0,0
19400000,194,0,2,0,0,0,0,0,0,0,0,0
19500000,195,0,2,0,0,0,0,0,0,0,0,0
19600000,196,0,2,0,0,0,0,0,0,0,0,0
19700000,197,0,2,0,0,0,0,0,0,0,0,0
19800000,198,0,2,0,0,0,0,0,0,0,0,0
19900000,199,0,2,0,0,0,0,0,0,0,0,0
20000000,200,0,2,0,0,0,0,0,0,0,0,0
20100000,201,0,2,0,0,0,0,0,0,0,0,0
20200000,202,0,2,0,0,0,0,0,0,0,0,0
20300000,203,0,2,0,0,0,0,0,0,0,0,0
20400000,204,0,2,0,0,0,0,0,0,0,0,0
20500000,205,0,2,0,0,0,0,0,0,0,0,0
20600000,206,0,2,0,0,0,0,0,0,0,0,0
20700000,207,0,2,0,0,0,0,0,0,0,0,0
20800000,208,0,2,0,0,0,0,0,0,0,0,0
20900000,209,0,2,0,0,0,0,0,0,0,0,0
21000000,210,0,2,0,0,0,0,0,0,0,0,0
21100000,211,0,2,0,0,0,0,0,0,0,0,0
21200000,212,0,2,0,0,0,0,0,0,0,0,0
21300000,213,0,2,0,0,0,0,0,0,0,0,0
21400000,214,0,2,0,0,0,0,0,0,0,0,0
21500000,215,0,2,0,0,0,0,0,0,0,0,0
21600000,216,0,2,0,0,0,0,0,0,0,0,0
21700000,217,0,2,0,0,0,0,0,0,0,0,0
21914001,218,0,2,0,0,0,0,0,0,0,0,0
22118004,219,0,2,0,0,0,0,0,0,0,0,0
22121637,220,0,2,0,0,0,0,0,0,0,0,0
22125281,221,0,2,0,0,0,0,0,0,0,0,0
22200000,222,0,2,0,0,0,0,0,0,0,0,0
22300000,223,0,2,0,0,0,0,0,0,0,0,0
22400000,224,0,2,0,0,0,0,0,0,0,0,0
22500000,225,0,2,0,0,0,0,0,0,0,0,0
22600000,226,0,2,0,0,0,0,0,0,0,0,0
